,Term,Attr Score
0,bladder,100.0
1,urethra,19.0
2,urachus,14.0
3,ureteral,6.0
4,flattened,2.0
5,versus,0.0
6,shoulder_girdle,0.0
7,oligemia,0.0
8,olfactory_groove,0.0
9,restrictive,0.0
10,smooth_muscle_tumor,0.0
11,retina,0.0
12,myxoid_liposarcoma,0.0
13,temperature,0.0
14,mucinous,0.0
15,horseshoe_kidney,0.0
16,monteggia_fracture,0.0
17,organ_system,0.0
18,skeletal_survey,0.0
19,infant,0.0
20,atlas,0.0
21,hirschsprung_disease,0.0
22,venous_flow,0.0
23,diaphyseal_fracture,0.0
24,hypoenhancing,0.0
25,shadowing,0.0
26,rounded,0.0
27,nasopharynx,0.0
28,duodenum,0.0
29,cutaneous,0.0
30,arteriovenous_malformation,0.0
31,incomplete_lissencephaly,0.0
32,graft,0.0
33,melanotic_schwannoma,0.0
34,reported,0.0
35,ultrasonography,0.0
36,cardiac_apex,0.0
37,viable,0.0
38,clubbing,0.0
39,axillary_artery,0.0
40,aspiration_of_fluid,0.0
41,posterior_vertebral_scalloping,0.0
42,gallbladder_wall,0.0
43,hypo,0.0
44,expiration,0.0
45,female_urethra,0.0
46,solitary_bone_cyst,0.0
47,sacrum,0.0
48,parenteral,0.0
49,pulmonary_hemorrhage,0.0
50,dysphagia,0.0
51,hilum,0.0
52,radial,0.0
53,serous_sac,0.0
54,sprengel_deformity,0.0
55,solid_and_papillary_epithelial_neoplasm,0.0
56,basilar_artery,0.0
57,axial_plane,0.0
58,oral_cavity,0.0
59,portable,0.0
60,pia_mater,0.0
61,diameter,0.0
62,susceptibility_artifact,0.0
63,epiglottitis,0.0
64,distended,0.0
65,healed,0.0
66,aerated,0.0
67,quadriceps_muscle,0.0
68,alignment,0.0
69,articular_cartilage,0.0
70,bearing,0.0
71,intramedullary_space,0.0
72,hepatitis,0.0
73,hypertrophy,0.0
74,smooth,0.0
75,graft_versus_host_disease,0.0
76,mitral_valve,0.0
77,fetal_hydrops,0.0
78,t2_hyperintensity,0.0
79,encephalomalacia,0.0
80,left_superior_intercostal_vein,0.0
81,monoarticular,0.0
82,congenital,0.0
83,partial_anomalous_pulmonary_venous_return,0.0
84,synthetic_graft,0.0
85,right_lateral_ventricle,0.0
86,satisfactory,0.0
87,sporadic,0.0
88,middle_cerebral_artery,0.0
89,retropharyngeal_space,0.0
90,small_intestine,0.0
91,probable,0.0
92,chemo,0.0
93,ground_glass_attenuation,0.0
94,t2,0.0
95,deltoid,0.0
96,staghorn_calculus,0.0
97,thyroid_cancer,0.0
98,polyarticular,0.0
99,sacral_region,0.0
100,mullerian_duct_cyst,0.0
101,inspiration,0.0
102,intravenous,0.0
103,larsen,0.0
104,hemangioma,0.0
105,longitudinal,0.0
106,demyelination,0.0
107,lymphatic_duct,0.0
108,abdominal_wall,0.0
109,orbital_pseudotumor,0.0
110,toddler_fracture,0.0
111,enterostomy,0.0
112,pericardium,0.0
113,caudate_nucleus,0.0
114,tunnel_view,0.0
115,beak_sign,0.0
116,high_risk,0.0
117,right_clavicle,0.0
118,ossification,0.0
119,intrapericardial,0.0
120,atherosclerosis,0.0
121,port,0.0
122,transverse_ligament,0.0
123,endotracheal,0.0
124,chemical_shift_artifact,0.0
125,barium,0.0
126,patellar_apex,0.0
127,neurocutaneous_syndrome,0.0
128,second_toe,0.0
129,lucent,0.0
130,treatment,0.0
131,ununited,0.0
132,at_rest,0.0
133,small_joint,0.0
134,sacral_nerve,0.0
135,thoracic_cavity,0.0
136,bursa,0.0
137,motor_cortex,0.0
138,meningocele,0.0
139,skeletal_system,0.0
140,nasoenteric_feeding_tube,0.0
141,ptosis,0.0
142,calcifications,0.0
143,calyx,0.0
144,regeneration,0.0
145,intraabdominal,0.0
146,inguinal_canal,0.0
147,disease_progression,0.0
148,heart,0.0
149,infusion,0.0
150,paraovarian,0.0
151,osteolytic,0.0
152,oblique_view,0.0
153,vascularity,0.0
154,corrected,0.0
155,thrombus,0.0
156,lower_abdomen,0.0
157,lymphangiectasia,0.0
158,perineuroma,0.0
