L0,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,size,covered
6RadLex entity,procedure,imaging procedure,diffusion,,,,,,,,1,0
4RadLex entity,Radlex descriptor,modality descriptor,functional,,,,,,,,1,0
1RadLex entity,Radlex descriptor,modality descriptor,intervention,,,,,,,,1,0
2RadLex entity,procedure,treatment,surgical procedure,cardiovascular surgery,atherectomy,,,,,,1,0
1RadLex entity,procedure,treatment,repair,,,,,,,,1,0
3RadLex entity,Radlex descriptor,width descriptor,narrow,,,,,,,,1,0
1RadLex entity,Radlex descriptor,anatomically-related descriptor,endotracheal,,,,,,,,1,0
1RadLex entity,Radlex descriptor,anatomically-related descriptor,intra-abdominal,,,,,,,,1,0
2RadLex entity,Radlex descriptor,anatomically-related descriptor,intra-articular,,,,,,,,1,0
2RadLex entity,Radlex descriptor,anatomically-related descriptor,intracerebral,,,,,,,,1,0
1RadLex entity,Radlex descriptor,anatomically-related descriptor,intraluminal,,,,,,,,1,0
3RadLex entity,Radlex descriptor,anatomically-related descriptor,intramedullary,,,,,,,,1,0
1RadLex entity,Radlex descriptor,anatomically-related descriptor,intraperitoneal,,,,,,,,1,0
1RadLex entity,Radlex descriptor,anatomically-related descriptor,intrapulmonary,,,,,,,,1,0
2RadLex entity,Radlex descriptor,anatomically-related descriptor,intratesticular,,,,,,,,1,0
8RadLex entity,Radlex descriptor,anatomically-related descriptor,intrauterine,,,,,,,,1,0
3RadLex entity,Radlex descriptor,anatomically-related descriptor,intraventricular,,,,,,,,1,0
4RadLex entity,Radlex descriptor,anatomically-related descriptor,nasal,,,,,,,,1,0
1RadLex entity,Radlex descriptor,anatomically-related descriptor,oral,,,,,,,,1,0
1RadLex entity,Radlex descriptor,anatomically-related descriptor,rectal,,,,,,,,1,0
4RadLex entity,Radlex descriptor,anatomically-related descriptor,respiratory,,,,,,,,1,0
5RadLex entity,Radlex descriptor,anatomically-related descriptor,transplacental,,,,,,,,1,0
3RadLex entity,Radlex descriptor,anatomically-related descriptor,ureteral,,,,,,,,1,0
12RadLex entity,Radlex descriptor,anatomically-related descriptor,urethral,,,,,,,,1,0
3RadLex entity,Radlex descriptor,anatomically-related descriptor,vaginal,,,,,,,,1,0
3RadLex entity,property,interventional outcome,therapeutic response,regression,,,,,,,1,0
1RadLex entity,non-anatomical substance,chemical element,lithium,,,,,,,,1,0
1RadLex entity,non-anatomical substance,chemical element,oxygen,,,,,,,,1,0
7RadLex entity,non-anatomical substance,chemical element,calcium,,,,,,,,1,0
1RadLex entity,non-anatomical substance,chemical element,copper,,,,,,,,1,0
2RadLex entity,non-anatomical substance,chemical element,silver,,,,,,,,1,0
1RadLex entity,non-anatomical substance,chemical element,barium,,,,,,,,1,0
3RadLex entity,property,measurement type,pressure,,,,,,,,1,0
1RadLex entity,Radlex descriptor,flow direction descriptor,retrograde,,,,,,,,1,0
57RadLex entity,Radlex descriptor,normality descriptor,normal,,,,,,,,1,0
42RadLex entity,Radlex descriptor,aggressiveness descriptor,benign,,,,,,,,1,0
16RadLex entity,Radlex descriptor,aggressiveness descriptor,malignant,,,,,,,,1,0
2RadLex entity,procedure,treatment,surgical procedure,transplantation,,,,,,,1,0
1RadLex entity,procedure,treatment,surgical procedure,spleen surgery,splenectomy,,,,,,1,0
9RadLex entity,property,teaching descriptor,representativeness,typical,,,,,,,1,0
13RadLex entity,property,teaching descriptor,representativeness,atypical,,,,,,,1,0
9RadLex entity,Radlex descriptor,normality descriptor,abnormal,,,,,,,,1,0
18RadLex entity,Radlex descriptor,quantity descriptor,present,,,,,,,,1,0
9RadLex entity,Radlex descriptor,quantity descriptor,absent,,,,,,,,1,0
1RadLex entity,Radlex descriptor,modality descriptor,attenuation,,,,,,,,1,0
2RadLex entity,Radlex descriptor,thickness descriptor,thick,,,,,,,,1,0
3RadLex entity,property,phase,,,,,,,,,1,0
1RadLex entity,property,function,,,,,,,,,1,0
1RadLex entity,property,morphology,,,,,,,,,1,0
2RadLex entity,Radlex descriptor,certainty descriptor,probably,,,,,,,,1,0
12RadLex entity,Radlex descriptor,certainty descriptor,possibly,,,,,,,,1,0
1RadLex entity,Radlex descriptor,imaging observation descriptor,distribution pattern,regional,,,,,,,1,0
4RadLex entity,Radlex descriptor,morphologic descriptor,spiculated,,,,,,,,1,0
6RadLex entity,Radlex descriptor,status descriptor,marked,,,,,,,,1,0
8RadLex entity,Radlex descriptor,speed descriptor,rapid,,,,,,,,1,0
