,Term,Attr Score
0,dysplasia,100.0
1,rickets,12.0
2,osteogenesis_imperfecta,2.0
3,multiple,2.0
4,epidermoid,1.0
5,heterotopia,1.0
6,shunt,0.0
7,torsion,0.0
8,healing,0.0
9,isointense,0.0
10,focal,0.0
11,foreign_body,0.0
12,invasion,0.0
13,carcinoid_tumor,0.0
14,retinoblastoma,0.0
15,hygroma,0.0
16,bursitis,0.0
17,circumscribed,0.0
18,fibrosarcoma,0.0
19,nerve_root,0.0
20,valvular_heart_disease,0.0
21,vault_of_nasopharynx,0.0
22,floor,0.0
23,acroosteolysis,0.0
24,extension,0.0
25,absent,0.0
26,diminished,0.0
27,lunate,0.0
28,cementoma,0.0
29,chest_wall,0.0
30,thumb,0.0
31,rhabdomyolysis,0.0
32,sonography,0.0
33,cysticercosis,0.0
34,lymphoid_tissue,0.0
35,osteoblastoma,0.0
36,partial_anomalous_pulmonary_venous_connection,0.0
37,pituitary_macroadenoma,0.0
38,ewing_sarcoma,0.0
39,prostate,0.0
40,diaphragmatic_rupture,0.0
41,coronal,0.0
42,subependymal_giant_cell_astrocytoma,0.0
43,posterior_urethral_valve,0.0
44,inflammatory_bowel_disease,0.0
45,patent_ductus_arteriosus,0.0
46,pseudoaneurysm,0.0
47,medulloblastoma,0.0
48,unilateral,0.0
49,asymmetry,0.0
50,sickle_cell_disease,0.0
51,bowed,0.0
52,abscess,0.0
53,duodenitis,0.0
54,biliary,0.0
55,pseudocyst,0.0
56,pulmonary_artery,0.0
57,acl_tear,0.0
58,paraovarian,0.0
59,avulsion,0.0
60,echo_planar,0.0
61,vertebra,0.0
62,hydrops,0.0
63,ultrasonography,0.0
64,thick,0.0
65,spondylitis,0.0
66,fourth_ventricle,0.0
67,sprain,0.0
68,goiter,0.0
69,transverse_colon,0.0
70,metabolism,0.0
71,ventricular_septal_defect,0.0
72,ollier_disease,0.0
73,nodular,0.0
74,achondroplasia,0.0
75,vessel,0.0
76,bone_cyst,0.0
77,cystic_partially_differentiated_nephroblastoma,0.0
78,talus,0.0
79,cellulitis,0.0
80,coarctation,0.0
81,protein,0.0
82,bile_duct,0.0
83,dorsal,0.0
84,tonsillitis,0.0
85,lower_extremities,0.0
86,malrotation,0.0
87,colloid_cyst,0.0
88,neurenteric_cyst,0.0
89,pheochromocytoma,0.0
90,narrow,0.0
91,congenital_diaphragmatic_hernia,0.0
92,osteolysis,0.0
93,incarcerated_hernia,0.0
94,spinal_cord,0.0
95,fused,0.0
96,anterior,0.0
97,cardiomyopathy,0.0
98,vagina,0.0
99,avascular,0.0
100,dermoid,0.0
101,ventricular_septum,0.0
102,hypovascular,0.0
103,fibrous_dysplasia,0.0
104,synovial_osteochondromatosis,0.0
105,phytobezoar,0.0
