L0,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,size,covered
RadLex entity,imaging modality,magnetic resonance spectroscopy,,,,,,,,,1,0
RadLex entity,imaging modality,magnetic resonance imaging,functional magnetic resonance imaging,,,,,,,,1,0
RadLex entity,imaging modality,magnetic resonance imaging,magnetic resonance angiography,,,,,,,,1,0
RadLex entity,imaging modality,tomography,computed tomography,quantitative computed tomography,,,,,,,1,0
RadLex entity,imaging modality,nuclear medicine imaging,single photon imaging,planar nuclear medicine imaging,,,,,,,1,0
RadLex entity,imaging modality,nuclear medicine imaging,bremsstrahlung imaging,,,,,,,,1,0
RadLex entity,imaging modality,nuclear medicine imaging,positron emission tomography,,,,,,,,1,0
RadLex entity,imaging modality,projection radiography,computed radiography,,,,,,,,1,0
RadLex entity,imaging modality,projection radiography,digital radiography,,,,,,,,1,0
RadLex entity,imaging modality,projection radiography,screen-film radiography,,,,,,,,1,0
RadLex entity,imaging modality,projection radiography,dual-energy subtraction radiography,,,,,,,,1,0
RadLex entity,imaging modality,projection radiography,mammography,,,,,,,,1,0
RadLex entity,imaging modality,tomography,conventional tomography,tomosynthesis,,,,,,,1,0
RadLex entity,imaging modality,panographic radiograph,,,,,,,,,1,0
RadLex entity,imaging modality,fluoroscopy,,,,,,,,,1,0
RadLex entity,imaging modality,dual energy xray absorptiometry,,,,,,,,,1,0
RadLex entity,procedure,imaging procedure,angiography,catheter angiography,,,,,,,1,0
RadLex entity,procedure,imaging procedure,arthrography,,,,,,,,1,0
RadLex entity,procedure,imaging procedure,diffusion,,,,,,,,1,0
RadLex entity,Radlex descriptor,modality descriptor,Doppler,,,,,,,,1,0
RadLex entity,procedure,imaging procedure,perfusion imaging,,,,,,,,1,0
RadLex entity,imaging modality,spectroscopy,,,,,,,,,1,0
RadLex entity,Radlex descriptor,modality descriptor,functional,,,,,,,,1,0
RadLex entity,procedure,imaging procedure,angiography,venography,,,,,,,1,0
RadLex entity,procedure,imaging procedure,myelography,,,,,,,,1,0
RadLex entity,Radlex descriptor,modality descriptor,intervention,,,,,,,,1,0
RadLex entity,Radlex descriptor,imaging procedure descriptor,orderable technique,portable,,,,,,,1,0
RadLex entity,Radlex descriptor,imaging procedure descriptor,orderable technique,dynamic,,,,,,,1,0
RadLex entity,Radlex descriptor,imaging procedure descriptor,orderable technique,limited evaluation,,,,,,,1,0
RadLex entity,Radlex descriptor,imaging procedure descriptor,orderable technique,complete evaluation,,,,,,,1,0
RadLex entity,Radlex descriptor,imaging procedure descriptor,orderable priority,stat blue,,,,,,,1,0
RadLex entity,Radlex descriptor,imaging procedure descriptor,orderable priority,stat,,,,,,,1,0
RadLex entity,Radlex descriptor,imaging procedure descriptor,orderable priority,urgent,,,,,,,1,0
RadLex entity,Radlex descriptor,imaging procedure descriptor,orderable priority,routine,,,,,,,1,0
