thinned,1
ovale,1
enema,9
widened,11
oral,7
wrist,9
dilatation,25
distended,14
prone,1
nerve,11
calculus,3
subarticular,1
weighted,23
extravasation,5
fatty,4
spasm,2
periosteum,5
hemiscrotum,1
hypervascular,1
choroid,1
lungs,21
talocalcaneal,1
head,27
antrum,3
obstruction,10
posteromedial,1
crest,1
ascending,8
peristalsis,1
endotracheal,3
subarachnoid,4
flair,23
homogeneous,10
angle,7
normal,117
typhlitis,1
hallux,3
veins,19
ossifying,1
marked,33
shadowing,6
abnormal,69
attachment,1
parotid,6
sternum,6
olive,1
fibrosis,3
vasculature,6
iliacus,1
carpus,1
flexure,3
basilar,4
scattered,14
rapid,1
single,16
pneumomediastinum,4
shape,10
echogenicity,1
ossific,12
vp,1
chance,1
fluoro,1
arch,19
tear,1
kerley,1
smooth,5
monteggia,1
main,10
projection,2
submandibular,2
basal,8
degeneration,2
postoperative,7
descending,20
pancreatic,3
edema,31
intravascular,1
transtentorial,3
sphincter,2
bicornuate,1
turcica,1
central,26
tracheoesophageal,1
interventional,1
meconium,2
medication,1
mouth,4
neuroblastoma,3
pectus,1
dilated,63
measurement,1
mr,2
superficial,4
atelectasis,8
catheter,16
acoustic,1
calcifications,36
hydronephrosis,8
doppler,28
cortical,28
poorly,3
isointense,3
angiography,4
hypointense,9
diameter,5
transverse,25
mammillary,1
asymmetry,1
ductal,6
pneumonia,2
c5,2
hemorrhagic,2
ear,2
av,1
tracheostomy,1
adrenal,7
clavicle,7
pole,1
posterior,137
cystic,70
follow-up,5
series,1
extremities,12
ventricular,5
patchy,1
mucosa,1
splenomegaly,1
testicles,4
rectum,13
turbulent,1
upper,87
hematoma,7
decubitus,3
carotid,8
glenoid,1
smaller,13
hypopharynx,1
l5/s1,1
valve,6
picc,1
peritoneum,2
suspicious,3
palate,2
gaseous,1
absence,12
herniation,10
joints,2
decreased,38
malrotation,4
hardening,1
cerebrospinal,1
preoperative,1
radial,13
interventricular,1
metastasis,1
atrophic,1
coronary,6
hindfoot,4
echotexture,6
calcified,7
localization,4
maxillary,4
humerus,19
reconstruction,4
calvarium,15
upright,2
inferior,49
fused,5
quadrigeminal,2
previous,3
diffusion,17
branching,3
distal,148
synostosis,2
testes,1
arcs,1
hypodense,11
port-wine,1
blurring,1
place,1
ge,2
capital,1
hemidiaphragm,5
middle,20
intraparenchymal,1
opacity,8
vermis,7
solid,24
sacrum,7
sigmoid,12
riolan,1
fluoroscopic,2
osteolytic,1
sclerotic,15
continuation,1
alignment,3
rim,3
embolus,2
nipple,3
pneumocephalus,1
septum,8
curved,5
intussusception,8
tuberosity,1
intracranial,6
brainstem,4
infarct,4
liver,36
piriform,1
subchondral,1
convex,8
surface,7
report,1
hyperdense,1
diaphragmatic,1
scout,3
knee,22
tenosynovitis,1
clamp,1
vein,46
post-contrast,21
i-123,1
brachiocephalic,6
scapula,7
sixth,2
changed,1
compression,17
kidney,75
thrombosis,5
space,13
caliber,16
pubis,3
lunate,1
obstructive,7
radiopaque,2
thinning,8
protuberance,5
shoulder,3
lumbar,3
aqueduct,1
sphenopalatine,1
lingual,1
a,1
bile,7
fibrous,5
acetabulum,15
invasive,1
elevated,8
arcuate,2
thorax,11
cavoatrial,1
scintigraphy,3
scoliosis,7
talus,10
disease,2
three,1
vessel,10
